pharmacy_name,address,product_name,price,availability,phone,url
Аптека АНЦ,"вул. Хрещатик, 1",Парацетамол таблетки 500мг №10,16.44 грн,В наявності,+380442363583,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Аптека АНЦ,"вул. Володимирська, 15",Парацетамол таблетки 500мг №10,13.26 грн,В наявності,+380501105815,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Аптека АНЦ,"просп. Перемоги, 25",Парацетамол таблетки 500мг №10,13.32 грн,Під замовлення,+380497848172,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Аптека Копійка,"вул. Саксаганського, 33",Парацетамол таблетки 500мг №10,13.31 грн,В наявності,+380501054684,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Аптека Копійка,"бул. Лесі Українки, 7",Парацетамол таблетки 500мг №10,15.30 грн,В наявності,+380472935021,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Аптека Копійка,"вул. Велика Васильківська, 12",Парацетамол таблетки 500мг №10,13.85 грн,В наявності,+380445176041,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Фармація,"вул. Горького, 8",Парацетамол таблетки 500мг №10,13.07 грн,Закінчується,+380458352430,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Фармація,"просп. Науки, 45",Парацетамол таблетки 500мг №10,14.72 грн,В наявності,+380488870506,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Фармація,"вул. Антоновича, 18",Парацетамол таблетки 500мг №10,16.36 грн,В наявності,+380495568914,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
Біла Ромашка,"вул. Бориспільська, 5",Парацетамол таблетки 500мг №10,13.22 грн,Під замовлення,+380472149853,https://tabletki.ua/product/парацетамол-таблетки-500мг-№10
